Timestamp,Search Time (s),Distance inspected (m),BT file
1702876054,87,10, suave_offline.xml
1702876443,85,13, suave_offline.xml
1702876832,77,16.5, suave_offline.xml
1702877231,88,8.5, suave_offline.xml
1702877631,88,21.6095, suave_offline.xml
1702878029,86,10.5, suave_offline.xml
1702878428,86,5.5, suave_offline.xml
1702878826,77,14.5, suave_offline.xml
1702879614,78,15, suave_offline.xml
1702880013,219,2.5, suave_offline.xml
1702880412,88,9.5, suave_offline.xml
1702880812,189,19.9569, suave_offline.xml
1702881210,87,19.5437, suave_offline.xml
1702881609,81,26.6123, suave_offline.xml
1702882407,86,9.5, suave_offline.xml
1702882806,87,4.5, suave_offline.xml
1702886053,78,20.696, suave_offline.xml
1702886453,81,14, suave_offline.xml
1702886852,87,21.1092, suave_offline.xml
